"fips";"county";"party";"STATE";"POPULATION";"DENSITY";"ALL RACES";"WHITE";"BLACK";"NATIVE";"ASIAN";"WHITE+LATINO"
36061;Manhattan;Democrat;NY;1636268;69467.5;96.9;64.7;18.3;1.2;12.5;73.0
36047;Brooklyn;Democrat;NY;2621793;35369.1;97.69999999999999;49.3;35.2;1.0;12.1;55.3
36005;Bronx;Democrat;NY;1438159;32903.6;96.70000000000002;45.5;43.5;2.9;4.4;65.0
36081;Queens;Democrat;NY;2321580;20553.6;97.2;49.1;20.8;1.3;25.8;54.2
6075;San Francisco;Democrat;CA;852469;17179.1;95.79999999999998;53.8;5.8;0.8;34.9;56.5
34017;Hudson;Democrat;NJ;669115;13731.4;97.5;65.8;15.1;1.2;15.2;72.4
42101;Philadelphia;Democrat;PA;1560297;11379.5;97.5;45.3;44.1;0.8;7.2;49.4
51510;Alexandria;Democrat;VA;150575;9314.3;96.8;66.4;22.6;0.8;6.9;68.9
36085;Staten Island;Republican;NY;473279;8030.3;97.99999999999999;77.1;11.9;0.6;8.3;80.7
51013;Arlington;Democrat;VA;226908;7993.6;96.79999999999998;76.6;9.1;0.7;10.3;78.5
24510;Baltimore City;Democrat;MD;622793;7671.5;97.9;31.6;63.1;0.4;2.7;32.9
34013;Essex;Democrat;NJ;795723;6211.5;97.69999999999999;49.7;41.9;0.7;5.3;54.300000000000004
51610;Falls Church;Democrat;VA;13601;6169.1;95.79999999999998;80.6;5.3;0.5;9.3;81.8
51685;Manassas Park;Democrat;VA;15174;5632.6;96.3;69.4;15.0;1.3;10.3;73.8
34039;Union;Democrat;NJ;552939;5216.1;98.10000000000001;68.4;23.5;0.7;5.4;72.3
29510;St. Louis City;Democrat;MO;317419;5157.5;97.6;46.6;47.5;0.3;3.2;47.4
36059;Nassau;Democrat;NY;1358627;4704.8;98.39999999999998;76.1;12.6;0.5;9.1;78.4
51710;Norfolk;Democrat;VA;245428;4486.4;96.50000000000001;49.2;42.7;0.7;3.7;51.5
51540;Charlottesville;Democrat;VA;45593;4246.4;96.7;69.9;19.2;0.4;7.1;71.0
55079;Milwaukee;Democrat;WI;956406;3926.0;97.30000000000001;65.3;27.2;0.9;3.9;67.2
8031;Denver;Democrat;CO;663862;3922.6;96.9;80.7;10.2;2.0;3.8;84.2
34003;Bergen;Democrat;NJ;933572;3884.5;98.0;74.4;6.8;0.4;16.3;77.1
51683;Manassas;Democrat;VA;42081;3827.6;96.3;73.7;15.1;1.3;6.0;77.6
6059;Orange;Republican;CA;3145515;3807.7;96.69999999999999;73.5;2.1;1.1;19.6;76.3
51600;Fairfax City;Democrat;VA;24483;3616.8;96.6;73.3;5.4;0.8;17.0;75.4
51760;Richmond City;Democrat;VA;217853;3414.7;97.60000000000001;44.7;49.7;0.6;2.4;46.800000000000004
12103;Pinellas;Democrat;FL;938098;3347.5;97.9;83.1;10.9;0.4;3.4;84.2
42045;Delaware;Democrat;PA;562960;3040.5;97.9;71.1;21.2;0.2;5.4;72.1
26163;Wayne;Democrat;MI;1764804;2974.4;97.6;54.8;39.3;0.5;3.0;55.7
51740;Portsmouth;Democrat;VA;96004;2838.8;97.19999999999999;41.8;53.4;0.5;1.4;43.3
51840;Winchester;Democrat;VA;27543;2838.0;97.1;81.8;11.6;0.9;2.7;83.9
51678;Lexington;Democrat;VA;7311;2820.2;97.79999999999998;84.6;9.6;0.3;3.2;84.89999999999999
51660;Harrisonburg;Democrat;VA;52478;2808.2;97.4;84.1;8.4;0.7;4.0;86.69999999999999
39035;Cuyahoga;Democrat;OH;1259828;2800.0;98.0;64.4;30.3;0.3;3.0;65.60000000000001
17043;DuPage;Democrat;IL;932708;2799.8;98.2;81.1;5.2;0.4;11.4;82.19999999999999
51059;Fairfax;Democrat;VA;1137538;2766.8;96.6;66.6;10.0;0.7;19.2;68.4
48113;Dallas;Democrat;TX;2518638;2718.0;98.19999999999999;68.0;23.1;1.1;5.9;70.4
34031;Passaic;Democrat;NJ;508856;2715.3;97.60000000000001;75.4;14.8;1.5;5.7;82.5
51650;Hampton;Democrat;VA;136879;2673.2;96.2;43.3;49.8;0.5;2.4;45.4
51700;Newport News;Democrat;VA;182965;2630.0;96.0;50.9;41.1;0.6;3.2;53.7
34023;Middlesex;Democrat;NJ;836297;2621.6;97.99999999999999;62.1;11.2;0.6;24.0;65.3
13089;DeKalb;Democrat;GA;722161;2585.7;98.0;36.7;54.8;0.5;5.9;38.8
6037;Los Angeles;Democrat;CA;10116705;2419.6;97.2;71.3;9.2;1.5;14.8;75.2
48201;Harris;Democrat;TX;4441370;2402.4;98.19999999999999;70.5;19.5;1.1;7.0;73.19999999999999
51630;Fredericksburg;Democrat;VA;28350;2326.2;96.39999999999999;68.4;24.1;0.8;3.0;70.9
34007;Camden;Democrat;NJ;511038;2321.5;97.69999999999997;70.1;21.1;0.6;5.8;73.89999999999999
51570;Colonial Heights;Republican;VA;17731;2315.3;97.8;79.8;13.9;0.6;3.3;81.1
51770;Roanoke City;Democrat;VA;99428;2279.8;97.2;65.4;29.0;0.4;2.3;66.60000000000001
18097;Marion;Democrat;IN;934243;2279.6;97.29999999999998;66.3;27.8;0.5;2.6;67.7
36119;Westchester;Democrat;NY;972634;2204.7;97.6;74.4;16.1;0.8;6.2;78.7
51670;Hopewell;Democrat;VA;22196;2198.0;96.8;55.5;39.4;0.6;1.1;57.6
39049;Franklin;Republican;OH;1231393;2186.1;96.99999999999999;69.8;22.2;0.3;4.6;70.8
48439;Tarrant;Republican;TX;1945360;2094.7;97.80000000000001;75.2;16.2;0.9;5.3;77.1
6001;Alameda;Democrat;CA;1610921;2043.6;94.80000000000001;51.7;12.1;1.1;28.9;55.5
22071;Orleans;Democrat;LA;384320;2029.4;98.6;35.3;59.8;0.4;3.0;36.7
13067;Cobb;Democrat;GA;730981;2026.4;97.59999999999998;64.6;27.3;0.5;5.1;66.6
24031;Montgomery;Democrat;MD;1030447;1978.2;96.8;62.0;18.8;0.7;15.2;64.7
39061;Hamilton;Republican;OH;806631;1976.7;97.8;69.0;26.1;0.2;2.4;69.60000000000001
29189;St. Louis County;Democrat;MO;1001876;1967.2;98.00000000000001;69.9;23.9;0.2;4.0;70.3
21111;Jefferson;Democrat;KY;760026;1948.1;97.7;73.4;21.5;0.2;2.5;74.1
13135;Gwinnett;Democrat;GA;877922;1871.2;97.49999999999999;58.1;27.0;0.8;11.5;61.1
13063;Clayton;Democrat;GA;267542;1832.5;97.89999999999999;23.6;68.3;0.6;5.3;26.6
36087;Rockland;Democrat;NY;323866;1795.9;98.1;77.7;13.1;0.5;6.7;80.5
24033;Prince George's;Democrat;MD;904430;1788.8;97.39999999999999;26.9;64.7;1.0;4.6;31.099999999999998
51810;Virginia Beach;Democrat;VA;450980;1758.9;96.1;68.6;20.0;0.5;6.8;70.6
37119;Mecklenburg;Democrat;NC;1012539;1755.5;97.8;59.2;32.2;0.8;5.5;61.5
26099;Macomb;Republican;MI;860112;1754.9;97.8;82.9;11.0;0.3;3.6;83.3
13121;Fulton;Democrat;GA;996319;1748.0;98.1;46.7;44.3;0.3;6.7;48.1
51775;Salem;Republican;VA;25483;1717.9;98.0;88.5;7.3;0.3;1.9;89.2
41051;Multnomah;Democrat;OR;776712;1704.9;95.5;80.5;5.7;1.5;7.2;82.5
8014;Broomfield;Democrat;CO;62138;1691.9;97.39999999999999;88.8;1.4;0.8;6.3;90.0
42003;Allegheny;Democrat;PA;1231255;1675.6;98.00000000000001;81.0;13.4;0.2;3.4;81.5
51750;Radford;Democrat;VA;17646;1662.1;97.8;86.0;9.1;0.2;2.4;86.4
42091;Montgomery;Democrat;PA;816857;1655.9;98.10000000000001;81.0;9.4;0.2;7.4;81.89999999999999
36103;Suffolk;Republican;NY;1502968;1637.4;98.19999999999999;85.2;8.3;0.6;4.0;87.5
34021;Mercer;Democrat;NJ;371537;1632.2;97.9;65.5;21.2;0.6;10.4;68.4
6081;San Mateo;Democrat;CA;758581;1602.2;95.7;62.5;3.0;0.9;27.7;65.7
15003;Honolulu;Democrat;HI;991788;1586.7;78.4;23.1;3.1;0.4;42.4;29.1
17097;Lake;Democrat;IL;705186;1585.6;98.0;82.3;7.5;0.9;7.2;84.3
31055;Douglas;Republican;NE;543244;1574.4;97.49999999999999;81.3;11.6;1.2;3.3;82.9
51830;Williamsburg;Democrat;VA;14691;1559.3;96.89999999999999;75.1;15.0;0.3;6.4;76.3
51680;Lynchburg;Republican;VA;79047;1538.2;97.89999999999999;65.7;28.5;0.5;3.1;66.4
6067;Sacramento;Democrat;CA;1482026;1470.8;94.0;64.6;10.9;1.5;15.8;69.1
6013;Contra Costa;Democrat;CA;1111339;1465.2;94.89999999999998;67.3;9.6;1.0;16.4;70.8
22051;Jefferson;Democrat;LA;435716;1463.1;98.39999999999999;66.3;27.2;0.6;4.2;67.9
12011;Broward;Democrat;FL;1869235;1444.9;98.00000000000001;64.9;28.9;0.4;3.7;67.3
51730;Petersburg;Democrat;VA;32701;1413.7;97.80000000000001;18.4;77.6;0.4;1.2;20.3
51820;Waynesboro;Republican;VA;21366;1396.8;96.80000000000001;83.7;11.7;0.5;0.9;84.8
49035;Salt Lake;Democrat;UT;1091742;1387.1;97.3;88.5;2.0;1.3;3.9;90.39999999999999
26125;Oakland;Democrat;MI;1237868;1385.7;97.8;76.5;14.5;0.3;6.5;77.1
48029;Bexar;Democrat;TX;1855866;1383.1;97.80000000000001;85.2;8.3;1.2;2.9;88.5
6085;Santa Clara;Democrat;CA;1894605;1381.0;96.0;56.4;2.9;1.3;34.9;59.9
51520;Bristol;Republican;VA;17184;1370.6;98.10000000000001;91.0;5.9;0.3;0.9;91.3
12117;Seminole;Republican;FL;442516;1367.0;97.39999999999999;80.6;12.2;0.4;4.1;82.8
24005;Baltimore;Democrat;MD;826925;1345.5;97.7;63.5;27.8;0.4;5.9;64.6
